jaredpalmer,razzle-4.0.1-canary.10,razzle-site,@reach/skip-nav,^0.10.5,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,@sindresorhus/slugify,^1.0.0,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,classnames,^2.2.6,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,focus-visible,^5.1.0,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,intersection-observer,^0.10.0,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,markdown-to-jsx,^6.11.4,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,match-sorter,^4.1.0,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,next,^9.4.4,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,next-google-fonts,^1.1.0,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,prism-react-renderer,^1.1.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,react,^16.13.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,react-dom,^16.13.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-site,react-intersection-observer,^8.26.2,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,razzle,4.0.1-canary.10,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,razzle-dev-utils,4.0.1-canary.10,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,mini-css-extract-plugin,^0.9.0,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,html-webpack-plugin,^4.5.2,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,webpack,^4.44.1,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,babel-preset-razzle,4.0.1-canary.10,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,webpack-dev-server,^3.11.2,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,express,^4.17.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,react,^17.0.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-custom-devserver-options,react-dom,^17.0.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,razzle,4.0.1-canary.10,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,razzle-dev-utils,4.0.1-canary.10,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,mini-css-extract-plugin,^0.9.0,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,html-webpack-plugin,^4.5.2,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,webpack,^4.44.1,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,babel-preset-razzle,4.0.1-canary.10,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,webpack-dev-server,^3.11.2,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,express,^4.17.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,react,^17.0.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-vendor-bundle,react-dom,^17.0.1,dependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@babel/cli,^7.12.13,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@babel/plugin-proposal-class-properties,^7.12.13,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@babel/plugin-proposal-decorators,^7.12.13,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@babel/plugin-transform-typescript,^7.12.1,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@babel/preset-typescript,^7.12.13,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@testing-library/dom,^7.29.4,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@testing-library/jest-dom,^5.5.0,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@testing-library/react,^10.0.3,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@testing-library/user-event,^10.1.0,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@types/express,^4.17.7,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@types/jest,^25.2.1,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@types/node,^13.13.2,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@types/react,^16.9.34,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@types/react-dom,^16.9.6,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@types/react-router-dom,^5.1.4,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@types/webpack-env,^1.15.2,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@typescript-eslint/eslint-plugin,^4.14.1,devDependencies
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-typeorm-graphql,@typescript-eslint/parser,^4.14.1,devDependencies
